#SNPs per gene	 # genes in bin	 mean of the bin 	 sd of the bin 
[258]	3	9.00842690866	2.70170798935
[259]	8	5.43345560524	2.2210323125
[260]	4	10.314245812	3.31536155078
[261]	4	8.89424494525	6.40451205988
[262]	5	5.33720288909	3.16909357499
[263]	6	5.93449997925	1.7010734423
[264]	5	5.21536698283	2.06809479771
[265]	2	6.07163065958	0.8055321979
[266]	8	6.15102436831	3.79351940964
[267]	7	7.63396330454	5.88124656454
[268]	4	4.52951279625	1.53661142884
[269]	7	7.73963127105	2.62905579692
[270]	6	9.14906223432	6.84136388251
[271]	4	7.38657974463	6.13388810889
[272]	5	5.07183717774	2.72137498586
[273]	2	3.52615469827	0.62614049129
[274]	2	6.14725908555	3.82068980918
[275]	4	21.5643275555	23.8030233619
[276]	7	9.22085204451	6.03893857438
[277]	5	8.00911368108	4.41294502275
[278]	5	7.69249454899	2.36079170965
[279]	3	3.08290374488	1.08475704372
[280]	1	4.9076571855	0.0
[281]	6	7.89108671412	2.24754472439
[282]	3	10.3147643971	5.3628997459
[283]	7	5.26822917931	1.45563846193
[284]	6	4.55216180255	2.30332021263
[285]	3	5.04796091796	1.04971356113
[286]	6	5.08253705843	1.42119251352
[287]	2	5.77000263876	2.46170187626
[288]	3	3.45077035875	0.241481934186
[289]	2	15.4971159725	4.20898846015
[290]	6	6.11265748205	1.90220409964
[291]	3	8.67871180324	3.70292884539
[293]	4	11.6801912847	9.46501812457
[294]	6	9.79276023773	8.80680336607
[295]	4	5.27469503156	2.97540569677
[296]	4	6.53042858578	2.66178693111
[297]	2	3.96295547173	1.68354688238
[298]	1	5.67756452475	0.0
[299]	5	7.44404977402	3.88659097175
[300]	3	10.0682613252	6.29303148405
[301]	3	6.28964569384	0.680800336058
[302]	5	3.90314333136	0.802567273085
[303]	6	5.33772065649	1.64834942573
[304]	1	5.41313777518	0.0
[305]	3	6.44680136145	1.99467401635
[306]	8	5.18570642286	2.71075118061
[307]	3	5.80326510207	1.54002183985
[308]	3	8.49040072012	2.92034494198
[309]	3	11.0036188243	3.98251279744
[310]	1	7.40612093436	0.0
[311]	4	13.6070994956	13.9524862462
[312]	2	7.41078540277	2.22428695417
[313]	5	6.3817147589	1.55438847417
[314]	3	6.09580777043	2.07931035643
[315]	2	4.60255141692	0.94022746495
[317]	2	5.59369834244	1.82972568893
[318]	4	4.04803118382	2.54864589555
[319]	3	5.91324831947	0.68608604237
[320]	3	10.2151558939	2.65586646147
[321]	1	2.59591763509	0.0
[322]	8	6.4410321024	3.90946024659
[323]	6	7.70957060184	9.2408310351
[324]	3	4.42050839924	1.34303593119
[325]	3	6.60349998562	1.61400743103
[326]	6	7.56044611725	3.94144262569
[327]	3	5.60785765186	1.93678656965
[328]	1	11.4946293839	0.0
[329]	3	5.34692500378	0.985368118159
[330]	4	3.65352995395	1.28784231997
[331]	3	9.1038076882	3.27495201133
[332]	2	5.6366804387	1.55277564752
[333]	5	11.2786520806	7.31126622944
[334]	4	7.07105278283	3.16571396877
[335]	3	10.9984926502	4.34059606814
[336]	8	7.79403554192	4.19237365337
[337]	5	6.80583171585	1.80888861088
[338]	7	7.06842158604	3.62328725113
[339]	4	8.08987698163	4.13253922036
[340]	3	7.37642214759	2.2620467324
[341]	2	5.66984061952	1.85607605144
[342]	2	7.87142236939	3.11911864281
[343]	6	12.7424503195	7.50196958712
[344]	5	7.77861797508	4.2545437581
