Length	Score	ID	Pvalue	Qvalues
14	2.36119110471	142387	0.243	0.466204250295
14	-0.525963365892	160137	0.474	0.582345191041
14	0.433126539245	160967	0.378	0.543921139102
14	8.13612133362	160973	0.027	0.27990430622
14	-1.95558116248	160988	0.64	0.613636363636
14	-2.73386782322	187107	0.733	0.613636363636
14	5.68128415166	187182	0.083	0.335927770859
14	-1.38867164986	[105795, 105794]	0.57	0.602536997886
14	-0.580967097196	[106340, 106339]	0.48	0.582415531081
14	5.68128415166	[187182, 106500]	0.083	0.335927770859
15	-0.457060255197	82976	0.48	0.582415531081
15	4.06481239756	82983	0.133	0.374242424242
15	-1.71499500738	83025	0.62	0.613636363636
15	3.8654064325	83075	0.141	0.381404958678
15	-6.25057730603	105701	0.978	0.669651322027
15	3.23680106144	105830	0.169	0.412659654395
15	0.592970732132	105834	0.381	0.543921139102
15	-2.12192900656	105863	0.666	0.613636363636
15	-3.38504757313	105894	0.798	0.627890085946
15	-0.749723701386	105900	0.516	0.592052048532
15	-1.14779824119	106055	0.554	0.602536997886
15	1.53636602502	106056	0.295	0.497957099081
15	3.61616808113	106122	0.146	0.388615888616
15	0.680357770871	106147	0.374	0.542997542998
15	6.80145416098	106173	0.051	0.304407713499
15	2.46285843307	106370	0.22	0.449170761671
15	5.3307671784	106373	0.09	0.347593582888
15	-1.4702436817	106445	0.586	0.607496012759
15	-2.71689530339	106448	0.726	0.613636363636
15	-1.2150620061	106466	0.556	0.602536997886
15	5.56637189726	106471	0.085	0.337095790116
15	-2.80097910866	119524	0.734	0.613636363636
15	-3.06108688529	119525	0.762	0.615126676602
15	-4.36991149289	119557	0.886	0.65036702428
15	7.39820310112	142421	0.039	0.299102132435
15	0.901818107565	160975	0.354	0.526071185672
15	7.45114594191	160978	0.039	0.299102132435
15	-2.3198866634	160983	0.688	0.613636363636
15	-1.79869567146	160996	0.629	0.613636363636
15	-2.66341029066	187108	0.725	0.613636363636
15	-3.26751581698	187215	0.782	0.625245700246
15	1.29534751974	187226	0.314	0.50974025974
15	-2.12192900656	[105863, 105862]	0.666	0.613636363636
16	0.867323896017	82932	0.371	0.539968652038
16	2.30406496672	83015	0.263	0.476715002789
16	5.36669736742	105724	0.097	0.350964187328
16	1.14904937892	105764	0.342	0.522198731501
16	8.17433203878	105776	0.036	0.295454545455
16	4.86562832243	105806	0.124	0.371840354767
16	-0.570827471122	105922	0.491	0.584952346041
16	2.66972212793	106349	0.232	0.457856712824
16	0.556684982815	106512	0.393	0.549000644745
16	-1.24899570426	119526	0.555	0.602536997886
16	-1.15867557091	142435	0.548	0.602536997886
16	14.4727633139	161034	0.003	0.118181818182
16	2.36975641249	161067	0.261	0.476715002789
16	-1.31250504469	187091	0.563	0.602536997886
16	-4.37740142879	187213	0.866	0.643682104059
16	-5.88118525819	187214	0.965	0.668496216562
16	1.14904937892	[105764, 105763]	0.342	0.522198731501
16	-2.54415218453	[105894, 105893]	0.696	0.613636363636
16	-2.54415218453	[105894, 105893, 105889]	0.696	0.613636363636
16	-2.54415218453	[105894, 105893, 105889, 105888]	0.696	0.613636363636
16	6.65358142755	[106471, 106099]	0.062	0.315830721003
16	5.64025005052	[106471, 106470]	0.088	0.344370860927
16	0.556684982815	[106512, 106511]	0.393	0.549000644745
17	-6.45787413979	82938	0.978	0.669651322027
17	-1.96885810572	82969	0.631	0.613636363636
17	2.21376642929	82981	0.262	0.476715002789
17	-2.81490524151	105851	0.705	0.613636363636
17	-3.20364095456	105928	0.747	0.613636363636
17	-1.4992040211	106063	0.574	0.603526366872
17	8.73928723608	106179	0.032	0.282225237449
17	2.28009588888	106421	0.26	0.476715002789
17	-2.01637235822	106465	0.638	0.613636363636
17	-0.545223078749	119538	0.483	0.583658672616
17	3.30112885064	142264	0.201	0.433616742969
17	6.89852756294	160972	0.06	0.315830721003
17	12.0794829576	161040	0.012	0.19696969697
17	-0.353073363798	161057	0.463	0.582345191041
17	5.70174694763	161070	0.091	0.348484848485
17	1.23750979987	187088	0.329	0.518772136954
17	-5.18310913715	187174	0.928	0.665489849956
